relacion,tabla_origen,campo_origen,tabla_destino,campo_destino,incluida_en_access,comentario
recycling_events_user_id_fkey,recycling_events,user_id,public.profiles,id,Si,Relacion publica conservada
ticket_turn_events_service_id_fkey,ticket_turn_events,service_id,public.ticket_turn_services,id,Si,Relacion publica conservada
ticket_turn_events_turn_id_fkey,ticket_turn_events,turn_id,public.ticket_turns,id,Si,Relacion publica conservada
ticket_turn_monitor_roles_service_id_fkey,ticket_turn_monitor_roles,service_id,public.ticket_turn_services,id,Si,Relacion publica conservada
ticket_turn_reactivations_service_id_fkey,ticket_turn_reactivations,service_id,public.ticket_turn_services,id,Si,Relacion publica conservada
ticket_turn_reactivations_turn_id_fkey,ticket_turn_reactivations,turn_id,public.ticket_turns,id,Si,Relacion publica conservada
ticket_turns_service_id_fkey,ticket_turns,service_id,public.ticket_turn_services,id,Si,Relacion publica conservada
token_rewards_recycling_event_id_fkey,token_rewards,recycling_event_id,public.recycling_events,id,Si,Relacion publica conservada
token_rewards_user_id_fkey,token_rewards,user_id,public.profiles,id,Si,Relacion publica conservada
